Name (or Code);RIC;ISIN;CUSIP/CINS;SEDOL;Type of Equity;Currency;Exchange;Ex-Dividend Date;Country ofIssuer;Debt / Equity;TRBC Sector;Market Capitalisation(USD)
Fras Le SA;FRAS3.SA;BRFRASACNOR0;P4317P107;B010DG5;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;23-Jun-2017;Brazil;0,56;Automotive Systems;314.830.069
Tegma Gestao Logistica SA;TGMA3.SA;BRTGMAACNOR7;P90284103;B1ZBDK5;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;10-Aug-2017;Brazil;1,21;Freight Trucking;302.552.892
Construtora Tenda SA;TEND3.SA;BRTENDACNOR4;P31432100;B28J1X2;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;0,75;Homebuilding (NEC);269.439.386
Unipar Carbocloro SA;UNIP6.SA;BRUNIPACNPB8;P9441U104;2905879;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-Aug-2017;Brazil;2,04;Commodity Chemicals (NEC);254.338.783
Companhia de Locacao das Americas;LCAM3.SA;BRLCAMACNOR3;P2R93B103;B82CQN4;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;28-Jun-2017;Brazil;3,42;Business Support Services (NEC);231.365.064
Mills Estruturas e Servicos de Engenharia SA;MILS3.SA;BRMILSACNOR2;P6799C108;B5LGRJ9;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;24-Jun-2014;Brazil;0,51;Industrial Equipment Rental;226.599.337
Brasilagro Companhia Brasileira de Propriedades Agricolas;AGRO3.SA;BRAGROACNOR7;P18023104;B1428Z9;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;08-Nov-2016;Brazil;0,24;Grain (Crop) Production;216.070.663
TPI Triunfo Participacoes e Investimentos SA;TPIS3.SA;BRTPISACNOR8;P92070104;B23FDJ5;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2016;Brazil;3,96;Highway Operators;210.266.730
Profarma Distribuidora de Produtos Farmaceuticos SA;PFRM3.SA;BRPFRMACNOR1;P7913E103;B1G92Q7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2014;Brazil;2,57;Drug Retailers (NEC);194.036.402
Kepler Weber SA;KEPL3.SA;BRKEPLACNOR1;P60653105;2490245;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;28-Apr-2016;Brazil;0,63;Agricultural Machinery;191.971.064
