run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,GdpDev.UnempRate,Inflation.UnempRate
137,-1860546341,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,0.5,0.05,0.05
164,-1860543147,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,2,0.06,0.24
166,-1860541339,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,1,0.09,-0.26
165,-1860540168,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,0.5,0.04,-0.06
168,-1860534407,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,2,0.03,0.27
127,-1860534608,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,1.5,0.04,0.12
170,-1860529831,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,1,0.05,0.26
172,-1860527522,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,2,0.05,0.11
171,-1860525582,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,1.5,0.05,-0.36
143,-1860530101,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,1.5,0.06,-0.36
174,-1860519276,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,1,0.06,-0.34
176,-1860514886,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,2,0.03,-0.38
133,-1860518953,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,0.5,0.07,-0.3
178,-1860513273,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,1,0.03,0.26
177,-1860512404,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,0.5,0.06,-0.14
180,-1860505265,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,2,0.05,-0.36
149,-1860510458,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,0.5,0.04,-0.41
182,-1860501910,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,1,0.06,0.25
183,-1860498311,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,1.5,0.04,0.48
184,-1860498976,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,2,0.05,-0.46
186,-1860494530,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,1,0.03,-0.42
139,-1860500579,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,1.5,0.03,0.29
155,-1860493488,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,1.5,0.04,0.26
188,-1860490582,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,2,0.02,0.29
190,-1860485533,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,1,0.03,0.1
189,-1860485887,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,0.5,0.04,0.12
192,-1860481406,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,2,0.04,0.06
145,-1860481241,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,0.5,0.04,-0.47
194,-1860477732,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,1,0.09,0.28
161,-1860478552,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,0.5,0.19,0.09
196,-1860475113,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,2,0.1,0.08
195,-1860473306,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,1.5,0.06,-0.37
198,-1860467792,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,1,0.05,0.24
200,-1860463781,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,2,0.15,0.09
202,-1860461275,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,1,0.04,-0.31
201,-1860460585,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,0.5,0.04,-0.26
151,-1860464223,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,1.5,0.03,-0.04
167,-1860463085,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,1.5,0.03,-0.45
204,-1860452850,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,2,0.04,-0.37
206,-1860450585,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,1,0.04,0.26
207,-1860448390,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,1.5,0.05,-0.41
208,-1860448681,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,2,0.05,-0.1
173,-1860446609,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,0.5,0.03,0.18
157,-1860446915,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,0.5,0.05,-0.26
210,-1860438907,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,1,0.14,-0.33
212,-1860437644,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,2,0.05,0.31
213,-1860435022,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,0.5,0.05,-0.36
214,-1860434578,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,1,0.08,-0.43
