run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,GdpGrowth.UnempRate
270,-1860302176,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.1,1,0.46
272,-1860307359,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.1,2,0.42
273,-1860305327,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.01,0.5,0.38
274,-1860302828,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.01,1,0.36
211,-1860291797,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,1.5,0.53
233,-1860287343,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.07,0.5,0.36
276,-1860288306,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.01,2,0.38
278,-1860294311,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.04,1,0.4
279,-1860292075,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.04,1.5,0.5
280,-1860290682,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.04,2,0.54
217,-1860273980,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,0.5,0.42
239,-1860273405,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,1.5,0.23
282,-1860274558,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.07,1,0.41
284,-1860279237,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.07,2,0.52
285,-1860278937,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.1,0.5,0.44
286,-1860278512,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.1,1,0.43
223,-1860257977,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,1.5,0.43
245,-1860256899,0.1,0.1,0.5,0.1,6,0.1,1,1,0.04,0.5,0.47
288,-1860259965,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.1,2,0.4
290,-1860265038,0.1,0.1,0.5,0.1,6,0.4,0.1,0.7,0.01,1,0.44
291,-1860266054,0.1,0.1,0.5,0.1,6,0.4,0.1,0.7,0.01,1.5,0.5
292,-1860265562,0.1,0.1,0.5,0.1,6,0.4,0.1,0.7,0.01,2,0.46
229,-1860242493,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,0.5,0.42
251,-1860240330,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,1.5,0.47
294,-1860247510,0.1,0.1,0.5,0.1,6,0.4,0.1,0.7,0.04,1,0.5
296,-1860250153,0.1,0.1,0.5,0.1,6,0.4,0.1,0.7,0.04,2,0.39
297,-1860253021,0.1,0.1,0.5,0.1,6,0.4,0.1,0.7,0.07,0.5,0.42
298,-1860252972,0.1,0.1,0.5,0.1,6,0.4,0.1,0.7,0.07,1,0.49
235,-1860224988,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.07,1.5,0.47
257,-1860224676,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.01,0.5,0.44
