run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,VacanRatio.UnempRate
136,-1860609535,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,2,-0.53
113,-1860611202,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,0.5,-0.92
135,-1860609242,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,1.5,-0.88
134,-1860607268,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,1,-0.95
138,-1860598991,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,1,-0.83
103,-1860603598,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,1.5,-0.71
142,-1860595502,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,1,-0.52
141,-1860593681,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,0.5,-0.1
140,-1860592432,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,2,-0.61
119,-1860594478,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,1.5,-0.6
144,-1860585565,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,2,-0.37
109,-1860585563,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,0.5,-0.09
148,-1860581945,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,2,-0.95
146,-1860579146,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,1,-0.64
147,-1860580140,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,1.5,-0.92
125,-1860579074,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,0.5,-0.35
150,-1860573853,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,1,-0.91
152,-1860566813,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,2,-0.68
154,-1860567721,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,1,-0.94
153,-1860566240,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,0.5,-0.75
115,-1860568379,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,1.5,-0.7
156,-1860559727,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,2,-0.64
131,-1860562808,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,1.5,-0.97
158,-1860554657,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,1,-0.9
160,-1860553891,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,2,-0.69
159,-1860553771,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,1.5,-0.42
121,-1860551067,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,0.5,-0.71
162,-1860546525,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,1,-0.87
137,-1860546341,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,0.5,-0.28
